title,year,Best Supporting Female,Best Screenplay,Best Feature,Best Male Lead,"Best First Feature - Under $500,000",Best Debut Performance,Best Cinematography,Best International Film,Best Director,Best Documentary,Best Film Music,Best Foreign Film,"Best Feature - Under $500,000",Best Female Lead,Best First Screenplay,Best Supporting Male,Best First Feature,Best Editing,Best Original Score,"Best First Feature - Over $500,000"
Spanking the Monkey,1995,,,,,,,,,,,,,,,David O. Russell,,"David O. Russell (director), Dean Silvers (producer)",,,
Spotlight,2016,,"Tom McCarthy, Josh Singer","Blye Pagon Faust, Steve Golin, Nicole Rocklin, Michael Sugar",,,,,,Tom McCarthy,,,,,,,,,Tom McArdle,,
Stand and Deliver,1989,Rosanna DeSoto,"Ramón Menéndez, Tom Musca",Tom Musca,Edward James Olmos,,,,,Ramón Menéndez,,,,,,,Lou Diamond Phillips,,,,
Still Alice,2015,,,,,,,,,,,,,,Julianne Moore,,,,,,
Straight Out of Brooklyn,1992,,,,,,,,,,,,,,,,,Matty Rich (director/producer),,,
Street Smart,1988,,,,,,,,,,,,,,,,Morgan Freeman,,,,
Suspiria,2019,,,,,,,Sayombhu Mukdeeprom,,,,,,,,,,,,,
Sweet Land,2007,,,,,,,,,,,,,,,,,"Ali Selim (director/producer), Alan Cumming (producer), Jim Bigham (producer)",,,
Sweetie,1991,,,,,,,,,,,,Jane Campion,,,,,,,,
"Synecdoche, New York",2009,,,,,,,,,,,,,,,,,"Charlie Kaufman (director/producer), Anthony Bregman (producer), Spike Jonze (producer), Sidney Kimmel (producer)",,,
Talk to Me,2008,,,,,,,,,,,,,,,,Chiwetel Ejiofor,,,,
Tangerine,2016,Mya Taylor,,,,,,,,,,,,,,,,,,,
Thank You for Smoking,2007,,Jason Reitman,,,,,,,,,,,,,,,,,,
The Apostle,1998,,,Rob Carliner,Robert Duvall,,,,,Robert Duvall,,,,,,,,,,,
The Artist,2012,,,Thomas Langmann,Jean Dujardin,,,Guillaume Schiffman,,Michel Hazanavicius,,,,,,,,,,,
The Big Easy,1988,,,,Dennis Quaid,,,,,,,,,,,,,,,,
The Big Sick,2018,,,,,,,,,,,,,,,"Kumail Nanjiani, Emily V. Gordon",,,,,
The Blair Witch Project,2000,,,,,"Daniel Myrick (director), Eduardo Sánchez (director), Gregg Hale (producer), Robin Cowie (producer)",,,,,,,,,,,,,,,
The Brothers McMullen,1996,,,,,,,,,,,,,,,,,"Edward Burns (director), Dick Fisher (producer)",,,
The Class,2009,,,,,,,,,,,,Laurent Cantet,,,,,,,,
The Crying Game,1993,,,,,,,,,,,,Neil Jordan,,,,,,,,
The Dangerous Lives of Altar Boys,2003,,,,,,,,,,,,,,,,,Peter Care,,,
The Dead,1988,Anjelica Huston,,,,,,,,John Huston,,,,,,,,,,,
The Descendants,2012,Shailene Woodley,"Alexander Payne, Nat Faxon, Jim Rash",,,,,,,,,,,,,,,,,,
The Diary of a Teenage Girl,2016,,,,,,,,,,,,,,,,,"Marielle Heller, Miranda Bailey, Anne Carey, Bert Hamelinck, Madeline Samit",,,
The Diving Bell and the Butterfly,2008,,,,,,,Janusz Kaminski,,Julian Schnabel,,,,,,,,,,,
The Farewell,2020,Shuzhen Zhao,,"Anita Gou, Daniele Tate Melia, Andrew Miano, Peter Saraf, Marc Turtletaub, Lulu Wang, Chris Weitz, Jane Zheng",,,,,,,,,,,,,,,,,
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2004,,,,,,,,,,Errol Morris,,,,,,,,,,
The Good Girl,2003,,Mike White,,,,,,,,,,,,,,,,,,
The Grifters,1991,,,"Robert A. Harris, Jim Painter, Martin Scorsese",,,,,,,,,,,Anjelica Huston,,,,,,
The Interrupters,2012,,,,,,,,,,"Steve James (director/producer), Alex Kotlowitz (producer)",,,,,,,,,,
The Invisible War,2013,,,,,,,,,,"Kirby Dick (director), Tanner King Barklow (producer), Amy Ziering (producer)",,,,,,,,,,
The Kids Are All Right,2011,,"Stuart Blumberg, Lisa Cholodenko",,,,,,,,,,,,,,,,,,
The King's Speech,2011,,,,,,,,,,,,Tom Hooper,,,,,,,,
The Last Seduction,1995,,,,,,,,,,,,,,Linda Fiorentino,,,,,,
The Lighthouse,2020,,,,,,,Jarin Blaschke,,,,,,,,,Willem Dafoe,,,,
The Lives of Others,2007,,,,,,,,,,,,Florian Henckel von Donnersmarck,,,,,,,,
The Look of Silence,2016,,,,,,,,,,"Joshua Oppenheimer, Signe Byrge Sørensen",,,,,,,,,,
The Lookout,2008,,,,,,,,,,,,,,,,,"Scott Frank (director), Roger Birnbaum (producer), Gary Barber (producer), Laurence Mark (producer), Walter F. Parkes (producer)",,,
The Messenger,2010,,,,,,,,,,,,,,,,Woody Harrelson,,,,
The Motorcycle Diaries,2005,,,,,,Rodrigo De la Serna,Eric Gautier,,,,,,,,,,,,,
The Opposite of Sex,1999,,Don Roos,,,,,,,,,,,,,,,"Don Roos (director), David Paul Kirkpatrick (producer), Michael Besman (producer)",,,
The Perks of Being a Wallflower,2013,,,,,,,,,,,,,,,,,"Stephen Chbosky (director), Lianne Halfon (producer), John Malkovich (producer), Russell Smith (producer)",,,
The Piano,1994,,,,,,,,,,,,Jane Campion,,,,,,,,
The Player,1993,,,"David Brown, Michael Tolkin, Nick Wechsler",,,,,,,,,,,,,,,,,
The Road to Guantanamo,2007,,,,,,,,,,"Michael Winterbottom, Mat Whitecross",,,,,,,,,,
The Savages,2008,,Tamara Jenkins,,Philip Seymour Hoffman,,,,,,,,,,,,,,,,
