title,year,stars
Upgrade,2018,"Logan Marshall-Green, Melanie Vallejo, Steve Danielsen, Abby Craden"
The Hurricane Heist,2018,"Toby Kebbell, Maggie Grace, Ryan Kwanten, Ralph Ineson"
7 Days in Entebbe,2018,"Batsheva Dance Company, Zina Zinchenko, Ben Schnetzer, Daniel Brühl"
Irreplaceable You,2018,"Gugu Mbatha-Raw, Michiel Huisman, Steve Coogan, Timothy Simons"
Snapshots,2018,"Piper Laurie, Brooke Adams, Emily Baldoni, Christopher McVay"
The Titan,2018,"Sam Worthington, Taylor Schilling, Tom Wilkinson, Agyness Deyn"
Scorched Earth,2018,"Gina Carano, Ryan Robbins, John Hannah, Dean Jagger"
Braven,2018,"Jason Momoa, Garret Dillahunt, Jill Wagner, Stephen Lang"
A Kid Like Jake,2018,"Claire Danes, Jim Parsons, Octavia Spencer, Priyanka Chopra"
Half the Picture,2018,"Ava DuVernay, Brenda Chapman, Caroline Libresco, Catherine Hardwicke"
Assassination Nation,2018,"Odessa Young, Abra, Suki Waterhouse, Hari Nef"
On Her Shoulders,2018,"Nadia Murad, Murad Ismael, Simone Monasebian, Michelle Rempel"
Night Comes On,2018,"Dominique Fishback, Jill Rene, Tatum Marilyn Hall, Nastashia Fuller"
Blindspotting,2018,"Daveed Diggs, Rafael Casal, Janina Gavankar, Jasmine Cephas Jones"
Private Life,2018,"Kathryn Hahn, Paul Giamatti, Gabrielle Reid, Amy Russ"
Bleeding Steel,2017,"Jackie Chan, Show Lo, Na-Na OuYang, Erica Xia-Hou"
Amaurosis,2017,"Richard Flood, Jasmine Hyde, Simon Cotton, Derek Horsham"
Bright,2017,"Will Smith, Joel Edgerton, Noomi Rapace, Edgar Ramírez"
Please Stand By,2017,"Dakota Fanning, Alice Eve, Toni Collette, Lexi Aaron"
24 Hours to Live,2017,"Ethan Hawke, Qing Xu, Paul Anderson, Rutger Hauer"
Beyond Skyline,2017,"Frank Grillo, Bojana Novakovic, Jonny Weston, Callan Mulvey"
Fathom Premieres 6 Below: Miracle on the Mountain,2017,"Josh Hartnett, Mira Sorvino, Sarah Dumont, Kale Culley"
My Little Pony: The Movie,2017,"Emily Blunt, Kristin Chenoweth, Liev Schreiber, Michael Peña"
The Foreigner,2017,"Katie Leung, Jackie Chan, Rufus Jones, Mark Tandy"
Anna and the Apocalypse,2017,"Ella Hunt, Malcolm Cumming, Sarah Swire, Christopher Leveaux"
Pyewacket,2017,"Laurie Holden, Nicole Muñoz, Chloe Rose, Eric Osborne"
Revenge,2017,"Matilda Anna Ingrid Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède"
Breath,2017,"Elizabeth Debicki, Simon Baker, Richard Roxburgh, Jacek Koman"
Mom and Dad,2017,"Nicolas Cage, Selma Blair, Anne Winters, Zackary Arthur"
Outlaws,2017,"Ryan Corr, Abbey Lee, Simone Kessell, Josh McConville"
Molly's Game,2017,"Jessica Chastain, Idris Elba, Kevin Costner, Michael Cera"
