title,year,stars
Poker Night,2014,"Beau Mirchoff, Ron Perlman, Giancarlo Esposito, Titus Welliver"
Skin Trade,2014,"Dolph Lundgren, Tony Jaa, Ron Perlman, Michael Jai White"
Robot Overlords,2014,"Ben Kingsley, Gillian Anderson, Callan McAuliffe, Ella Hunt"
Monsters: Dark Continent,2014,"Johnny Harris, Sam Keeley, Joe Dempsie, Sofia Boutella"
Felt,2014,"Amy Everson, Kentucker Audley, Ryan Creighton, Elisabeth Ferrara"
Automata,2014,"Antonio Banderas, Birgitte Hjort Sørensen, Dylan McDermott, Melanie Griffith"
Everly,2014,"Salma Hayek, Hiroyuki Watanabe, Laura Cepeda, Togo Igawa"
Alien Outpost,2014,"Adrian Paul, Andy Davoli, Reiley McClendon, Brandon Auret"
A Walk Among the Tombstones,2014,"Liam Neeson, Dan Stevens, David Harbour, Boyd Holbrook"
Before We Go,2014,"Chris Evans, Alice Eve, Emma Fitzpatrick, John Cullum"
American Heist,2014,"Hayden Christensen, Adrien Brody, Jordana Brewster, Akon"
The Keeping Room,2014,"Brit Marling, Hailee Steinfeld, Sam Worthington, Muna Otaru"
Meet Me in Montenegro,2014,"Alex Holdridge, Linnea Saasen, Rupert Friend, Jennifer Ulrich"
Welcome to Me,2014,"Kristen Wiig, James Marsden, Linda Cardellini, Wes Bentley"
Big Game,2014,"Samuel L. Jackson, Onni Tommila, Ray Stevenson, Victor Garber"
Before I Go to Sleep,2014,"Nicole Kidman, Colin Firth, Mark Strong, Anne-Marie Duff"
Wolves,2014,"Lucas Till, Stephen McHattie, John Pyper-Ferguson, Merritt Patterson"
Cam2Cam,2014,"Tammin Sursok, Jade Tailor, Sarah Bonrepaux, Russell Geoffrey Banks"
The Prince,2014,"Jason Patric, Bruce Willis, John Cusack, Jessica Lowndes"
Frank Miller's Sin City: A Dame to Kill For,2014,"Mickey Rourke, Jessica Alba, Josh Brolin, Joseph Gordon-Levitt"
The November Man,2014,"Pierce Brosnan, Luke Bracey, Olga Kurylenko, Bill Smitrovich"
After,2014,"Kathleen Quinlan, John Doman, Pablo Schreiber, Sabrina Gennarino"
The Princess of France,2014,"Julián Larquier Tellarini, Agustina Muñoz, Alessio Rigo de Righi, María Villar"
The Dark Horse,2014,"Cliff Curtis, James Rolleston, Kirk Torrance, James Napier Robertson"
Rocks in My Pockets,2014,Signe Baumane
The Anomaly,2014,"Noel Clarke, Ian Somerhalder, Brian Cox, Alexis Knapp"
Kite,2014,"India Eisley, Jaco Muller, Annabel Linder, Christina Storm"
Emoticon ;),2014,"Livia De Paolis, Michael Cristofer, Carol Kane, Sônia Braga"
The Salt of the Earth,2014,"Sebastião Salgado, Wim Wenders, Lélia Wanick Salgado, Juliano Ribeiro Salgado"
"Two Days, One Night",2014,"Marion Cotillard, Fabrizio Rongione, Catherine Salée, Baptiste Sornin"
Waiting for August,2014,
10 Cent Pistol,2014,"Jena Malone, JT Alexander, Damon Alexander, Joe Mantegna"
Miss Meadows,2014,"Katie Holmes, James Badge Dale, Callan Mulvey, Jean Smart"
Boulevard,2014,"Robin Williams, Roberto Aguire, Kathy Baker, Bob Odenkirk"
Time Lapse,2014,"Danielle Panabaker, Matt O'Leary, George Finn, John Rhys-Davies"
Young Bodies Heal Quickly,2014,"Gabriel Croft, Josephine Decker, Jay Featherstone, Johnathan Frasier"
Alex of Venice,2014,"Mary Elizabeth Winstead, Chris Messina, Don Johnson, Derek Luke"
Life Partners,2014,"Leighton Meester, Gillian Jacobs, Adam Brody, Gabourey Sidibe"
Match,2014,"Patrick Stewart, Carla Gugino, Matthew Lillard, Jamie Tirelli"
Will You Dance with Me?,2014,Phillip Williamson
God's Not Dead,2014,"Shane Harper, Kevin Sorbo, David A.R. White, Dean Cain"
Sabotage,2014,"Arnold Schwarzenegger, Sam Worthington, Terrence Howard, Olivia Williams"
Take Me to the River,2014,"Terrence Howard, James Alexander, Al Bell, William Bell"
10.000 Km,2014,"Natalia Tena, David Verdaguer, Sirius Flatz"
At the Devil's Door,2014,"Ashley Rickards, Nick Eversman, Michael Massee, Mark Steger"
Creep,2014,"Patrick Brice, Mark Duplass"
Predestination,2014,"Ethan Hawke, Sarah Snook, Noah Taylor, Madeleine West"
Date and Switch,2014,"Nicholas Braun, Hunter Cope, Dakota Johnson, Gary Cole"
'71,2014,"Jack O'Connell, Sam Reid, Sean Harris, Paul Popplewell"
Rage,2014,"Nicolas Cage, Rachel Nichols, Max Ryan, Michael McGrady"
Little Accidents,2014,"Boyd Holbrook, Randy Springer, Jacob Lofland, Beau Wright"
Hits,2014,"Meredith Hagner, Matt Walsh, James Adomian, Jake Cherry"
The Raid 2,2014,"Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara"
The Outsider,2014,"Craig Fairbrass, James Caan, Jason Patric, Shannon Elizabeth"
What We Do in the Shadows,2014,"Jemaine Clement, Taika Waititi, Cori Gonzalez-Macuer, Jonny Brugh"
Happy Christmas,2014,"Anna Kendrick, Melanie Lynskey, Mark Webber, Lena Dunham"
Life Itself,2014,"Roger Ebert, Chaz Ebert, Gene Siskel, Martin Scorsese"
A Most Wanted Man,2014,"Philip Seymour Hoffman, Rachel McAdams, Daniel Brühl, Robin Wright"
E-Team,2014,"Anna Neistat, Ole Solvang, Peter Bouckaert, Fred Abrahams"
I Origins,2014,"Michael Pitt, Steven Yeun, Astrid Bergès-Frisbey, Brit Marling"
Love Is Strange,2014,"John Lithgow, Alfred Molina, Marisa Tomei, Charlie Tahan"
The Guest,2014,"Dan Stevens, Sheila Kelley, Maika Monroe, Joel David Moore"
God's Pocket,2014,"Philip Seymour Hoffman, Christina Hendricks, Richard Jenkins, John Turturro"
The Nut Job,2014,"Will Arnett, Brendan Fraser, Liam Neeson, Katherine Heigl"
Dumbbells,2014,"Brian Drolet, Hoyt Richards, Taylor Cole, Mircea Monroe"
Police Story: Lockdown,2013,"Jackie Chan, Ye Liu, Tian Jing, Tao Yin"
"No God, No Master",2013,"David Strathairn, Ray Wise, Sam Witwer, Alessandro Mario"
The Best Man Holiday,2013,"Monica Calhoun, Morris Chestnut, Melissa De Sousa, Taye Diggs"
Brightest Star,2013,"Chris Lowell, Rose McIver, Jessica Szohr, Alex Kaluzhsky"
Life Inside Out,2013,"Maggie Baird, Finneas O'Connell, Lori Nasso, David Cowgill"
Walking With The Enemy,2013,"Jonas Armstrong, Ben Kingsley, Hannah Tointon, Simon Kunz"
The Maid's Room,2013,"Paula Garcés, Annabella Sciorra, Bill Camp, Philip Ettinger"
Adult World,2013,"Emma Roberts, Evan Peters, John Cusack, Cloris Leachman"
Machete Kills,2013,"Danny Trejo, Alexa PenaVega, Mel Gibson, Jessica Alba"
The Family,2013,"Robert De Niro, Michelle Pfeiffer, Dianna Agron, John D'Leo"
How I Live Now,2013,"Saoirse Ronan, Tom Holland, George MacKay, Harley Bird"
Canopy,2013,"Khan Chittenden, Morning Tzu-Yi Mo, Robert Menzies, Edwina Wren"
Fading Gigolo,2013,"John Turturro, Woody Allen, Sharon Stone, Sofía Vergara"
36 Saints,2013,"Franky G, Jeffrey De Serrano, Donna McKechnie, Jamie Tirelli"
Lucky Them,2013,"Toni Collette, Thomas Haden Church, Nina Arianda, Oliver Platt"
The Ultimate Life,2013,"Logan Bartholomew, Peter Fonda, Ali Hillis, Lee Meriwether"
Rush,2013,"Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara"
Under the Skin,2013,"Scarlett Johansson, Jeremy McWilliams, Lynsey Taylor Mackay, Dougie McConnell"
The Mortal Instruments: City of Bones,2013,"Lily Collins, Jamie Campbell Bower, Robert Sheehan, Jemima West"
Paranoia,2013,"Liam Hemsworth, Gary Oldman, Harrison Ford, Amber Heard"
Snowpiercer,2013,"Chris Evans, Jamie Bell, Tilda Swinton, Ed Harris"
Contracted,2013,"Najarra Townsend, Caroline Williams, Alice Macdonald, Matt Mercer"
Stand Clear of the Closing Doors,2013,"Jesus Sanchez-Velez, Andrea Suarez Paz, Azul Zorrilla, Tenoch Huerta"
Hellaware,2013,"Keith Poulson, Sophia Takal, Brent Butler, Duane C. Wallace"
Goodbye World,2013,"Adrian Grenier, Kid Cudi, Mckenna Grace, Kerry Bishé"
Europa Report,2013,"Sharlto Copley, Michael Nyqvist, Christian Camargo, Embeth Davidtz"
Hair Brained,2013,"Alex Wolff, Parker Posey, Brendan Fraser, Julia Garner"
The Immigrant,2013,"Marion Cotillard, Joaquin Phoenix, Jeremy Renner, Dagmara Dominczyk"
The Last Days on Mars,2013,"Liev Schreiber, Elias Koteas, Romola Garai, Olivia Williams"
Blue Ruin,2013,"Macon Blair, Devin Ratray, Amy Hargreaves, Kevin Kolack"
The Bling Ring,2013,"Katie Chang, Israel Broussard, Emma Watson, Claire Julien"
Last Passenger,2013,"Dougray Scott, Kara Tointon, Iddo Goldberg, David Schofield"
Beneath,2013,"Daniel Zovatto, Bonnie Dennison, Chris Conroy, Jon Orsini"
The Colony,2013,"Kevin Zegers, Laurence Fishburne, Bill Paxton, Charlotte Sullivan"
Some Velvet Morning,2013,"Stanley Tucci, Alice Eve"
The Machine,2013,"Toby Stephens, Caity Lotz, Denis Lawson, Sam Hazeldine"
Bluebird,2013,"Amy Morton, John Slattery, Louisa Krause, Emily Meade"
Odd Thomas,2013,"Anton Yelchin, Ashley Sommers, Leonor Varela, Matthew Page"
Down and Dangerous,2013,"John T. Woods, Paulie Rojas Redding, Ross Marquand, Judd Nelson"
Detour,2013,"Neil Hopkins, Brea Grant, John Forest, Ptolemy Slocum"
A Farewell to Fools,2013,"Gérard Depardieu, Harvey Keitel, Laura Morante, Bogdan Iancu"
The Wait,2013,"Jena Malone, Chloë Sevigny, Luke Grimes, Devon Gearhart"
Some Girl(s),2013,"Adam Brody, Kristen Bell, Zoe Kazan, Mía Maestro"
Dead Man Down,2013,"Colin Farrell, Noomi Rapace, Dominic Cooper, Terrence Howard"
Awful Nice,2013,"Christopher Meloni, Zahn McClarnon, Laura Ramsey, Brett Gelman"
Safe Haven,2013,"Julianne Hough, Josh Duhamel, Cobie Smulders, David Lyons"
Side Effects,2013,"Rooney Mara, Channing Tatum, Jude Law, Catherine Zeta-Jones"
Magic Magic,2013,"Michael Cera, Juno Temple, Emily Browning, Catalina Sandino Moreno"
Afternoon Delight,2013,"Kathryn Hahn, Link Ruiz, Cesar Garcia, Jane Lynch"
Ass Backwards,2013,"June Diane Raphael, Casey Wilson, Jon Cryer, Vincent D'Onofrio"
Charlie Countryman,2013,"Shia LaBeouf, Evan Rachel Wood, Mads Mikkelsen, Til Schweiger"
Ain't Them Bodies Saints,2013,"Rooney Mara, Casey Affleck, Ben Foster, Nate Parker"
The East,2013,"Brit Marling, Alexander Skarsgård, Ellen Page, Toby Kebbell"
Fruitvale Station,2013,"Michael B. Jordan, Melonie Diaz, Octavia Spencer, Kevin Durand"
Hank and Asha,2013,"Andrew Pastides, Mahira Kakkar, Brian Sloan, Anna Tydlitatova"
Broken City,2013,"Mark Wahlberg, Russell Crowe, Catherine Zeta-Jones, Jeffrey Wright"
Warm Bodies,2013,"Nicholas Hoult, Teresa Palmer, John Malkovich, Analeigh Tipton"
The Color of Time,2012,"James Franco, Mila Kunis, Jessica Chastain, Zach Braff"
SOMM,2012,"Bo Barrett, Shayn Bjornholm, Dave Cauble, Ian Cauble"
I Do,2012,"Jamie-Lynn Sigler, Alicia Witt, Maurice Compte, David W. Ross"
Ex-Girlfriends,2012,"Jennifer Carpenter, Alexander Poe, Kristen Connolly, Liz Holtan"
Just 45 Minutes from Broadway,2012,"Tanna Frederick, Judd Nelson, Jack Heller, Diane Salinger"
Atlas Shrugged II: The Strike,2012,"Samantha Mathis, Jason Beghe, Esai Morales, Patrick Fabian"
Not Fade Away,2012,"John Magaro, Jack Huston, Will Brill, Brahm Vaccarella"
The Lords of Salem,2012,"Sheri Moon Zombie, Meg Foster, Bruce Davison, Jeff Daniel Phillips"
Casting By,2012,"Deborah Aquila, Risa Bramon Garcia, Ellen Chenoweth, Marion Dougherty"
Viola,2012,"María Villar, Alessio Rigo de Righi, Agustina Muñoz, Elisa Carricajo"
The Impossible,2012,"Naomi Watts, Ewan McGregor, Tom Holland, Oaklee Pendergast"
Cloud Atlas,2012,"Tom Hanks, Halle Berry, Hugh Grant, Hugo Weaving"
Frances Ha,2012,"Greta Gerwig, Mickey Sumner, Adam Driver, Michael Zegen"
Vamps,2012,"Alicia Silverstone, Krysten Ritter, Larry Wilmore, Bettina Bresnan"
Sparkle,2012,"Jordin Sparks Thomas, Carmen Ejogo, Whitney Houston, Derek Luke"
Craigslist Joe,2012,"Joseph Garner, Kristos Andrews, Gina Keatley, Michael T. Kuciak"
My Amityville Horror,2012,"Daniel Lutz, Susan Bartell, Laura DiDio, Marvin Scott"
BearCity 2: The Proposal,2012,"Joe Conti, Gerald McCullouch, Stephen Lambeth, Chuck Southworth"
Bad Kids Go to Hell,2012,"Cameron Deane Stewart, Ben Browder, Jeffrey Schmidt, Ali Faulkner"
Seeking a Friend for the End of the World,2012,"Steve Carell, Keira Knightley, Melanie Lynskey, Patton Oswalt"
My Father and the Man in Black,2012,"Saul Holiff, Johnny Cash, Jonathan Holiff, Bob Dylan"
Nate & Margaret,2012,"Natalie West, Tyler Ross, Conor McCahill, Gaby Hoffmann"
Maniac,2012,"Elijah Wood, Nora Arnezeder, America Olivo, Megan Duffy"
Miss Lovely,2012,"Nawazuddin Siddiqui, Niharika Singh, Anil George, Zeena Bhatia"
Killing Them Softly,2012,"Brad Pitt, Ray Liotta, Richard Jenkins, Scoot McNairy"
Rust and Bone,2012,"Marion Cotillard, Matthias Schoenaerts, Armand Verdure, Céline Sallette"
Piranha 3DD,2012,"Danielle Panabaker, Ving Rhames, David Hasselhoff, Matt Bush"
Sexual Chronicles of a French Family,2012,"Mathias Melloul, Valérie Maës, Stephan Hersoen, Leïla Denio"
Future Weather,2012,"Perla Haney-Jardine, Lili Taylor, Amy Madigan, Marin Ireland"
The Playroom,2012,"Ian Veteto, Alexandra Doke, Jonathon McClendon, Olivia Harris"
Graceland,2012,"Arnold Reyes, Menggie Cobarrubias, Dido de la Paz, Leon Miguel"
Free Samples,2012,"Jess Weixler, Jesse Eisenberg, Halley Feiffer, Jason Ritter"
Brake,2012,"Stephen Dorff, Chyler Leigh, JR Bourne, Tom Berenger"
30 Beats,2012,"Condola Rashad, Justin Kirk, Jennifer Tilly, Jason Day"
Get the Gringo,2012,"Mel Gibson, Kevin Balmore, Daniel Giménez Cacho, Jesús Ochoa"
Casa de mi Padre,2012,"Will Ferrell, Gael García Bernal, Diego Luna, Nick Offerman"
Side by Side,2012,"Derek Ambrosi, Michael Ballhaus, Andrzej Bartkowiak, Dion Beebe"
ATM,2012,"Alice Eve, Josh Peck, Brian Geraghty, Mike O'Brian"
The Girl from the Naked Eye,2012,"Jason Yee, Samantha Streets, Ron Yuan, Dominique Swain"
The Samaritan,2012,"Samuel L. Jackson, Luke Kirby, Ruth Negga, A.C. Peterson"
Room 237,2012,"Bill Blakemore, Geoffrey Cocks, Juli Kearns, John Fell Ryan"
My Brother the Devil,2012,"James Krishna Floyd, Elarica Johnson, Fady Elsayed, Saïd Taghmaoui"
Liberal Arts,2012,"Josh Radnor, Elizabeth Olsen, Zac Efron, Elizabeth Reaser"
Safety Not Guaranteed,2012,"Aubrey Plaza, Mark Duplass, Jake Johnson, Karan Soni"
Detropia,2012,"Noah Stewart, Rachele Gilmnore, Michael Wanko, Michigan Opera Theatre Orchestra"
Beasts of the Southern Wild,2012,"Quvenzhané Wallis, Dwight Henry, Levy Easterly, Lowell Landes"
The Double,2011,"Richard Gere, Topher Grace, Martin Sheen, Tamer Hassan"
Hunky Dory,2011,"Minnie Driver, Kristian Gwilliam, Adam Byard, Aled Pugh"
In the Family,2011,"Sebastian Banes, Patrick Wang, Trevor St. John, Lisa Altomare"
Art History,2011,"Joe Swanberg, Josephine Decker, Kent Osborne, Kris Rey"
11 Flowers,2011,"Jingchun Wang, Wenqing Liu, Guo Liuxing Zhong, Kexuan Zhang"
Samsara,2011,"Balinese Tari Legong Dancers, Ni Made Megahadi Pratiwi, Puti Sri Candra Dewi, Putu Dinda Pratika"
Creature,2011,"Mehcad Brooks, Serinda Swan, Daniel Bernhardt, Dillon Casey"
Seeking Justice,2011,"Nicolas Cage, January Jones, Guy Pearce, Harold Perrineau"
The Inbetweeners,2011,"James Buckley, Blake Harrison, Joe Thomas, Simon Bird"
A Better Life,2011,"Demián Bichir, José Julián, Eddie 'Piolin' Sotelo, Joaquín Cosio"
Scalene,2011,"Margo Martindale, Adam Scarimbolo, Hanna Hall, Jim Dougherty"
Judy Moody and the Not Bummer Summer,2011,"Jordana Beatty, Heather Graham, Parris Mosteller, Janet Varney"
The Tree of Life,2011,"Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken"
Abandoned,2011,"Thomas Dekker, Lynn Collins, Elizabeth McGovern, Joseph Morgan"
Stuck Between Stations,2011,"Sam Rosen, Zoe Lister-Jones, Michael Imperioli, Josh Hartnett"
Puncture,2011,"Chris Evans, Mark Kassen, Vinessa Shaw, Marshall Bell"
Atlas Shrugged: Part I,2011,"Taylor Schilling, Grant Bowler, Matthew Marsden, Edi Gathegi"
5 Days of War,2011,"Rupert Friend, Emmanuelle Chriqui, Richard Coyle, Heather Graham"
Shut Up Little Man! An Audio Misadventure,2011,"Eddie Lee Sausage, Mitch Deprey, Daniel Clowes, Ivan Brunetti"
Where Soldiers Come From,2011,
The Beaver,2011,"Mel Gibson, Jodie Foster, Anton Yelchin, Cherry Jones"
Detention,2011,"Josh Hutcherson, Shanley Caswell, Spencer Locke, Dane Cook"
Dragonslayer,2011,"Sid Rocket, Josh 'Skreech' Sandoval"
The Divide,2011,"Lauren German, Michael Biehn, Milo Ventimiglia, Courtney B. Vance"
The FP,2011,"Jason Trost, Lee Valmassy, Art Hsu, Caitlyn Folley"
Attack the Block,2011,"John Boyega, Jodie Whittaker, Alex Esmail, Leeon Jones"
Making the Boys,2011,"Edward Albee, Joe Allen, Matt Baney, David Carter"
Ironclad,2011,"Paul Giamatti, Jason Flemyng, Brian Cox, James Purefoy"
The Eagle,2011,"Channing Tatum, Jamie Bell, Donald Sutherland, István Göz"
Dressed,2011,"Mickey Boardman, Simon Collins, Simon Doonan, Amanda Fields"
Bullhead,2011,"Matthias Schoenaerts, Jeroen Perceval, Jeanne Dandoy, Barbara Sarafian"
Apart,2011,"Olesya Rulin, Josh Danziger, Bruce McGill, Joey Lauren Adams"
We Were Here,2011,"Ed Wolf, Daniel Goldstein, Guy Clark, Eileen Glutzer"
Bombay Beach,2011,
Hell and Back Again,2011,"Nathan Harris, Ashley Harris, The Marines of Echo Company, Christian Cabaniss"
Restless City,2011,"Hervé Diese, Momo Dione, Lenore Thomas Douglas, Ger Duany"
I Melt with You,2011,"Thomas Jane, Rob Lowe, Jeremy Piven, Christian McKay"
Granito,2011,
Another Earth,2011,"Brit Marling, William Mapother, Matthew-Lee Erlbach, DJ Flava"
Red State,2011,"Michael Parks, Melissa Leo, John Goodman, Michael Angarano"
The Catechism Cataclysm,2011,"Judy Findlay, Steve Little, Robert Longstreet, Carlos Lopez"
On the Ice,2011,"Josiah Patkotak, Frank Qutuq Irelan, John Miller, Teddy Kyle Smith"
Bellflower,2011,"Evan Glodell, Tyler Dawson, Jessie Wiseman, Rebekah Brandes"
Hood to Coast,2011,"Margaret Lily Andres, Jason Baldwin, Rachel Larsen, Jenny Macy"
Happy Life,2011,"Tom McCaffrey, Amanda Salane, Gilles Decamps, Matt Pinfield"
Return,2011,"Linda Cardellini, Michael Shannon, John Slattery, Talia Balsam"
Kati with an I,2010,Kati Genthner
Dylan Dog: Dead of Night,2010,"Brandon Routh, Anita Briem, Sam Huntington, Taye Diggs"
Queen of the Lot,2010,"Tanna Frederick, Noah Wyle, Christopher Rydell, David Proval"
Carbon Nation,2010,"Rohit T. Aggarwala, Jerry M. Allums, Lela Allums, Peter Barnes"
Wrecked,2010,"Adrien Brody, Caroline Dhavernas, Ryan Robbins, Adrian G. Griffiths"
Under the Boardwalk: The Monopoly Story,2010,"Zachary Levi, Philip Orbanes, Ken Koury, Matthew McNally"
The Black Tulip,2010,"Haji Gul Aser, Sonia Nassery Cole, Leo Solomon, Somajia Razaya"
Last Night,2010,"Keira Knightley, Sam Worthington, Eva Mendes, Guillaume Canet"
Henry's Crime,2010,"Keanu Reeves, Vera Farmiga, James Caan, Judy Greer"
Let Me In,2010,"Kodi Smit-McPhee, Chloë Grace Moretz, Richard Jenkins, Cara Buono"
Girlfriend,2010,"Shannon Woodward, Jackson Rathbone, Amanda Plummer, Evan Sneider"
Bunraku,2010,"Josh Hartnett, Demi Moore, Woody Harrelson, Gackt"
Everything Must Go,2010,"Will Ferrell, Rebecca Hall, Christopher Jordan Wallace, Michael Peña"
Super,2010,"Rainn Wilson, Ellen Page, Liv Tyler, Kevin Bacon"
The Way,2010,"Martin Sheen, Emilio Estevez, Deborah Kara Unger, Yorick van Wageningen"
The King's Speech,2010,"Colin Firth, Geoffrey Rush, Helena Bonham Carter, Derek Jacobi"
The American,2010,"George Clooney, Paolo Bonacelli, Violante Placido, Irina Björklund"
The Expendables,2010,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren"
Amigo,2010,"Joel Torre, Chris Cooper, Garret Dillahunt, Arthur Acuña"
Hello Lonesome,2010,"Sabrina Lloyd, James Urbaniak, Lynn Cohen, Harry Chase"
The Sons of Tennessee Williams,2010,"Charles Maddox, Tommy Dietsch, Ed Herlihy, George Roth"
BearCity,2010,"Alex Di Dio, Kevin E. Smith, Joe Conti, Carlos Abrieu"
The Gentlemen,2019,"Jeremy Strong, Matthew McConaughey, Michelle Dockery, Charlie Hunnam"
The Courier,2019,"Gary Oldman, Alicia Agneson, Amit Shah, Olga Kurylenko"
Line of Duty,2019,"Dina Meyer, Giancarlo Esposito, Courtney Eaton, Aaron Eckhart"
Klaus,2019,"Rashida Jones, J.K. Simmons, Will Sasso, Jason Schwartzman"
Midway,2019,"Patrick Wilson, Woody Harrelson, Ed Skrein, Luke Evans"
Code 8,2019,"Robbie Amell, Kari Matchett, Penny Eizenga, Lawrence Bayne"
21 Bridges,2019,"Sienna Miller, J.K. Simmons, Chadwick Boseman, Stephan James"
Dirt Music,2019,"Aaron Pedersen, Kelly Macdonald, Garrett Hedlund, David Wenham"
White Lie,2019,"Thomas Olajide, Kacey Rohl, Martin Donovan, Amber Anderson"
The Rest of Us,2019,"Abigail Pniowsky, Jodi Balfour, Heather Graham, Sophie Nélisse"
Sea Fever,2019,"Hermione Corfield, Jack Hickey, Dag Malmberg, Olwen Fouéré"
Babyteeth,2019,"Michelle Lotters, Sora Wakaki, Toby Wallace, Eliza Scanlen"
The Aeronauts,2019,"Felicity Jones, Vincent Perez, Eddie Redmayne, Himesh Patel"
The Informer,2019,"Rosamund Pike, Mateusz Kosciukiewicz, Common, Joel Kinnaman"
Jacob's Ladder,2019,"Jesse Williams, Guy Burnet, Michael Ealy, Nicole Beharie"
Anna,2019,"Sasha Luss, Luke Evans, Cillian Murphy, Helen Mirren"
Bolden,2019,"Ian McShane, Erik LaRay Harvey, Michael Rooker, Gary Carr"
After Class,2019,"Justin Long, Kate Berlant, Michael Godere, Lynn Cohen"
Phil,2019,"Jay Duplass, Bradley Whitford, Emily Mortimer, Greg Kinnear"
Billboard,2019,"Eric Roberts, Leo Fitzpatrick, Darlene Cates, Heather Matarazzo"
Ode to Joy,2019,"Jake Lacy, Morena Baccarin, Melissa Rauch, Martin Freeman"
Captive State,2019,"Ashton Sanders, John Goodman, Vera Farmiga, Jonathan Majors"
Auggie,2019,"Richard Kind, Larisa Oleynik, Susan Blackwell, Christine Donlon"
The Peanut Butter Falcon,2019,"Zack Gottsagen, Dakota Johnson, Bruce Dern, Ann Owens"
2040,2019,"Damon Gameau, Davini Malcolm, Eva Lazzaro, Zoë Gameau"
Bait,2019,"Mary Woodvine, Giles King, Simon Shepherd, Edward Rowe"
Cold Pursuit,2019,"Michael Eklund, Liam Neeson, Laura Dern, Micheál Richardson"
Sea of Shadows,2019,"Andrea Crosta, Romel Eduardo Ledezma Abaroa, Hector Capetillo, Rafael Pacchiano Alamán"
Judy & Punch,2019,"Jacek Koman, Mia Wasikowska, Benedict Hardie, Damon Herriman"
Velvet Buzzsaw,2019,"Tom Sturridge, Zawe Ashton, Rene Russo, Jake Gyllenhaal"
Monos,2019,"Sofia Buenaventura, Laura Castrillón, Karen Quintero, Julián Giraldo"
One Child Nation,2019,"Tunde Wang, Zhimei Wang, Nanfu Wang, Zaodi Wang"
The Last Black Man in San Francisco,2019,"Tichina Arnold, Jonathan Majors, Jimmie Fails, Rob Morgan"
Close,2019,"Sophie Nélisse, Noomi Rapace, Abdellatif Chaouqi, Olivia Jewson"
Sometimes Always Never,2018,"Jenny Agutter, Sam Riley, Bill Nighy, Alice Lowe"
Night Hunter,2018,"Ben Kingsley, Stanley Tucci, Alexandra Daddario, Henry Cavill"
The Clovehitch Killer,2018,"Dylan McDermott, Samantha Mathis, Charlie Plummer, Madisen Beaty"
The Wind,2018,"Ashley Zukerman, Julia Goldani Telles, Caitlin Gerard, Dylan McTee"
The Third Wife,2018,"Nu Yên-Khê Tran, Maya, Long Le Vu, Hong Chuong Nguyen"
Hotel Mumbai,2018,"Armie Hammer, Dev Patel, Nazanin Boniadi, Anupam Kher"
Final Score,2018,"Dave Bautista, Martyn Ford, Pierce Brosnan, Ray Stevenson"
Boy Erased,2018,"Russell Crowe, Nicole Kidman, Lucas Hedges, Joel Edgerton"
Suspiria,2018,"Doris Hick, Malgorzata Bela, Tilda Swinton, Chloë Grace Moretz"
The Other Side of the Wind,2018,"Oja Kodar, Peter Bogdanovich, John Huston, Susan Strasberg"
Kin,2018,"Jack Reynor, Myles Truitt, Dennis Quaid, Zoë Kravitz"
Peppermint,2018,"John Ortiz, John Gallagher Jr., Jennifer Garner, Juan Pablo Raba"
Mile 22,2018,"Iko Uwais, John Malkovich, Mark Wahlberg, Lauren Cohan"
14 Cameras,2018,"Neville Archambault, Zach Dulin, Chelsea Edmundson, Kodi Saint Angelo"
Dilili in Paris,2018,"Natalie Dessay, Bruno Paviot, Prunelle Charles-Ambron, Enzo Ratsito"
Jirga,2018,"Sam Smith, Kefayat Lag Humani, Naqibullah Khan Shinwari, Mohammad Mosam"
Hotel Artemis,2018,"Dave Bautista, Sterling K. Brown, Sofia Boutella, Jodie Foster"
Social Animals,2018,"Carly Chaikin, Samira Wiley, Aya Cash, Josh Radnor"
Occupation,2018,"Rhiannon Fish, Dan Ewing, Temuera Morrison, Stephany Jacobsen"
Future World,2018,"Suki Waterhouse, Jeff Wahlberg, Margarita Levieva, James Franco"
Gotti,2018,"Spencer Rocco Lofranco, Stacy Keach, Kelly Preston, John Travolta"
Shoplifters,2018,"Kirin Kiki, Mayu Matsuoka, Lily Franky, Sakura Andô"
Terminal,2018,"Dexter Fletcher, Mike Myers, Simon Pegg, Margot Robbie"
Roll Red Roll,2018,"Rachel Dissell, Anthony Craig, Alexandria Goddard, Mark Cole"
All About Nina,2018,"Brodie Reed, Jay Mohr, Charlotte Newhouse, Mary Elizabeth Winstead"
Duck Butter,2018,"Laia Costa, Hong Chau, Mae Whitman, Alia Shawkat"
Stockholm,2018,"Mark Strong, Christopher Heyerdahl, Noomi Rapace, Ethan Hawke"
Measure of a Man,2018,"Luke Wilson, Liana Liberato, Judy Greer, Donald Sutherland"
Black Water,2018,"Dolph Lundgren, Courtney Blythe Turk, Al Sapienza, Jean-Claude Van Damme"
Tyler Perry's Acrimony,2018,"Crystle Stewart, Taraji P. Henson, Jazmyn Simon, Lyriq Bent"
