title,year,director,stars
Peppermint,2018,Pierre Morel,"Jennifer Garner, John Gallagher Jr., John Ortiz, Juan Pablo Raba"
Mile 22,2018,Peter Berg,"Mark Wahlberg, Lauren Cohan, Iko Uwais, John Malkovich"
14 Cameras,2018,Seth Fuller,"Zach Dulin, Kodi Saint Angelo, Neville Archambault, Chelsea Edmundson"
Dilili in Paris,2018,Michel Ocelot,"Prunelle Charles-Ambron, Enzo Ratsito, Natalie Dessay, Bruno Paviot"
Jirga,2018,Benjamin Gilmour,"Sam Smith, Mohammad Mosam, Kefayat Lag Humani, Naqibullah Khan Shinwari"
Hotel Artemis,2018,Drew Pearce,"Jodie Foster, Sofia Boutella, Dave Bautista, Sterling K. Brown"
Social Animals,2018,Theresa Bennett,"Aya Cash, Carly Chaikin, Josh Radnor, Samira Wiley"
Occupation,2018,Luke Sparke,"Dan Ewing, Temuera Morrison, Stephany Jacobsen, Rhiannon Fish"
Future World,2018,James Franco,"James Franco, Suki Waterhouse, Jeff Wahlberg, Margarita Levieva"
Gotti,2018,Kevin Connolly,"John Travolta, Spencer Rocco Lofranco, Kelly Preston, Stacy Keach"
Shoplifters,2018,Hirokazu Koreeda,"Lily Franky, Sakura Andô, Kirin Kiki, Mayu Matsuoka"
3 Faces,2018,Jafar Panahi,"Behnaz Jafari, Jafar Panahi, Marziyeh Rezaei, Maedeh Erteghaei"
Terminal,2018,Vaughn Stein,"Margot Robbie, Simon Pegg, Dexter Fletcher, Mike Myers"
Roll Red Roll,2018,Nancy Schwartzman,"Mark Cole, Anthony Craig, Rachel Dissell, Alexandria Goddard"
All About Nina,2018,Eva Vives,"Mary Elizabeth Winstead, Brodie Reed, Charlotte Newhouse, Jay Mohr"
Duck Butter,2018,Miguel Arteta,"Alia Shawkat, Laia Costa, Mae Whitman, Hong Chau"
Stockholm,2018,Robert Budreau,"Ethan Hawke, Noomi Rapace, Mark Strong, Christopher Heyerdahl"
Measure of a Man,2018,Jim Loach,"Judy Greer, Luke Wilson, Donald Sutherland, Liana Liberato"
Black Water,2018,Pasha Patriki,"Jean-Claude Van Damme, Dolph Lundgren, Al Sapienza, Courtney Blythe Turk"
Tyler Perry's Acrimony,2018,Tyler Perry,"Taraji P. Henson, Lyriq Bent, Crystle Stewart, Jazmyn Simon"
Upgrade,2018,Leigh Whannell,"Logan Marshall-Green, Melanie Vallejo, Steve Danielsen, Abby Craden"
The Hurricane Heist,2018,Rob Cohen,"Toby Kebbell, Maggie Grace, Ryan Kwanten, Ralph Ineson"
7 Days in Entebbe,2018,José Padilha,"Batsheva Dance Company, Zina Zinchenko, Ben Schnetzer, Daniel Brühl"
Irreplaceable You,2018,Stephanie Laing,"Gugu Mbatha-Raw, Michiel Huisman, Steve Coogan, Timothy Simons"
Snapshots,2018,Melanie Mayron,"Piper Laurie, Brooke Adams, Emily Baldoni, Christopher McVay"
The Titan,2018,Lennart Ruff,"Sam Worthington, Taylor Schilling, Tom Wilkinson, Agyness Deyn"
Scorched Earth,2018,Peter Howitt,"Gina Carano, Ryan Robbins, John Hannah, Dean Jagger"
Braven,2018,Lin Oeding,"Jason Momoa, Garret Dillahunt, Jill Wagner, Stephen Lang"
A Kid Like Jake,2018,Silas Howard,"Claire Danes, Jim Parsons, Octavia Spencer, Priyanka Chopra"
Half the Picture,2018,Amy Adrion,"Ava DuVernay, Brenda Chapman, Caroline Libresco, Catherine Hardwicke"
Assassination Nation,2018,Sam Levinson,"Odessa Young, Abra, Suki Waterhouse, Hari Nef"
On Her Shoulders,2018,Alexandria Bombach,"Nadia Murad, Murad Ismael, Simone Monasebian, Michelle Rempel"
Night Comes On,2018,Jordana Spiro,"Dominique Fishback, Jill Rene, Tatum Marilyn Hall, Nastashia Fuller"
Blindspotting,2018,Carlos López Estrada,"Daveed Diggs, Rafael Casal, Janina Gavankar, Jasmine Cephas Jones"
Private Life,2018,Tamara Jenkins,"Kathryn Hahn, Paul Giamatti, Gabrielle Reid, Amy Russ"
Bleeding Steel,2017,Leo Zhang,"Jackie Chan, Show Lo, Na-Na OuYang, Erica Xia-Hou"
Amaurosis,2017,Gary Sinyor,"Richard Flood, Jasmine Hyde, Simon Cotton, Derek Horsham"
Bright,2017,David Ayer,"Will Smith, Joel Edgerton, Noomi Rapace, Edgar Ramírez"
Please Stand By,2017,Ben Lewin,"Dakota Fanning, Alice Eve, Toni Collette, Lexi Aaron"
24 Hours to Live,2017,Brian Smrz,"Ethan Hawke, Qing Xu, Paul Anderson, Rutger Hauer"
Beyond Skyline,2017,Liam O'Donnell,"Frank Grillo, Bojana Novakovic, Jonny Weston, Callan Mulvey"
Fathom Premieres 6 Below: Miracle on the Mountain,2017,Scott Waugh,"Josh Hartnett, Mira Sorvino, Sarah Dumont, Kale Culley"
My Little Pony: The Movie,2017,Jayson Thiessen,"Emily Blunt, Kristin Chenoweth, Liev Schreiber, Michael Peña"
The Foreigner,2017,Martin Campbell,"Katie Leung, Jackie Chan, Rufus Jones, Mark Tandy"
Anna and the Apocalypse,2017,John McPhail,"Ella Hunt, Malcolm Cumming, Sarah Swire, Christopher Leveaux"
Pyewacket,2017,Adam MacDonald,"Laurie Holden, Nicole Muñoz, Chloe Rose, Eric Osborne"
Revenge,2017,Coralie Fargeat,"Matilda Anna Ingrid Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède"
Breath,2017,Simon Baker,"Elizabeth Debicki, Simon Baker, Richard Roxburgh, Jacek Koman"
Mom and Dad,2017,Brian Taylor,"Nicolas Cage, Selma Blair, Anne Winters, Zackary Arthur"
Outlaws,2017,Stephen McCallum,"Ryan Corr, Abbey Lee, Simone Kessell, Josh McConville"
Molly's Game,2017,Aaron Sorkin,"Jessica Chastain, Idris Elba, Kevin Costner, Michael Cera"
Kodachrome,2017,Mark Raso,"Ed Harris, Jason Sudeikis, Elizabeth Olsen, Bruce Greenwood"
Woodshock,2017,Kate Mulleavy,"Kirsten Dunst, Joe Cole, Pilou Asbæk, Steph DuVall"
West of Sunshine,2017,Jason Raftopoulos,"Damian Hill, Ty Perham, Arthur Angel, Kat Stewart"
American Renegades,2017,Steven Quale,"J.K. Simmons, Sullivan Stapleton, Charlie Bewley, Sylvia Hoeks"
Death Note,2017,Adam Wingard,"Nat Wolff, LaKeith Stanfield, Margaret Qualley, Shea Whigham"
Jackals,2017,Kevin Greutert,"Deborah Kara Unger, Ben Sullivan, Chelsea Ricketts, Nick Roux"
Logan Lucky,2017,Steven Soderbergh,"Channing Tatum, Adam Driver, Daniel Craig, Farrah Mackenzie"
6 Days,2017,Toa Fraser,"Jamie Bell, Mark Strong, Abbie Cornish, Martin Shaw"
Armed Response,2017,John Stockwell,"Wesley Snipes, Anne Heche, Dave Annable, Colby Lopez"
Detroit,2017,Kathryn Bigelow,"John Boyega, Anthony Mackie, Algee Smith, Jacob Latimore"
First Kill,2017,Steven C. Miller,"Bruce Willis, Hayden Christensen, Ty Shelton, Megan Leonard"
Valerian and the City of a Thousand Planets,2017,Luc Besson,"Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna"
Mohawk,2017,Ted Geoghegan,"Kaniehtiio Horn, Ezra Buzzington, Eamon Farren, Justin Rain"
Anything,2017,Timothy McNeil,"John Carroll Lynch, Matt Bomer, Maura Tierney, Margot Bingham"
China Salesman,2017,Tan Bing,"Dong-xue Li, Mike Tyson, Janicke Askevold, Li Ai"
The Year of Spectacular Men,2017,Lea Thompson,"Madelyn Deutch, Jesse Bradford, Cameron Monaghan, Brandon T. Jackson"
And Then I Go,2017,Vincent Grashaw,"Arman Darbo, Melonie Diaz, Lucy Shepard, Tony Hale"
Becks,2017,Daniel Powell,"Lena Hall, Mena Suvari, Christine Lahti, Dan Fogler"
Ali's Wedding,2017,Jeffrey Walker,"Osamah Sami, Don Hany, Helana Sawires, Robert Rabiah"
The Hunter's Prayer,2017,Jonathan Mostow,"Sam Worthington, Odeya Rush, Allen Leech, Amy Landecker"
Good Time,2017,Benny Safdie,"Robert Pattinson, Benny Safdie, Jennifer Jason Leigh, Buddy Duress"
47 Meters Down,2017,Johannes Roberts,"Mandy Moore, Claire Holt, Matthew Modine, Chris Johnson"
Kill Switch,2017,Tim Smit,"Dan Stevens, Bérénice Marlohe, Tygo Gernandt, Charity Wakefield"
The Circle,2017,James Ponsoldt,"Emma Watson, Tom Hanks, John Boyega, Ellar Coltrane"
Bombshell: The Hedy Lamarr Story,2017,Alexandra Dean,"Hedy Lamarr, Mel Brooks, Jennifer Hom, Anthony Loder"
Sweet Virginia,2017,Jamie M. Dagg,"Jon Bernthal, Christopher Abbott, Imogen Poots, Rosemarie DeWitt"
Aftermath,2017,Elliott Lester,"Arnold Schwarzenegger, Scoot McNairy, Maggie Grace, Judah Nelson"
Stratton,2017,Simon West,"Dominic Cooper, Austin Stowell, Gemma Chan, Connie Nielsen"
Bomb City,2017,Jameson Brooks,"Dave Davis, Glenn Morshower, Luke Shelton, Henry Knotts"
Mr. Roosevelt,2017,Noël Wells,"Noël Wells, Nick Thune, Britt Lower, Daniella Pineda"
The Strange Ones,2017,Christopher Radcliff,"Alex Pettyfer, James Freedson-Jackson, Emily Althaus, Gene Jones"
68 Kill,2017,Trent Haaga,"Matthew Gray Gubler, AnnaLynne McCord, Alisha Boe, Sheila Vand"
Fist Fight,2017,Richie Keen,"Ice Cube, Charlie Day, Tracy Morgan, Christina Hendricks"
Freak Show,2017,Trudie Styler,"Alex Lawther, Ian Nelson, AnnaSophia Robb, Celia Weston"
Wheeler,2017,Ryan Ross,"Stephen Dorff, Kris Kristofferson, Audrey Spillman, Bobby Tomberlin"
"No Date, No Signature",2017,Vahid Jalilvand,"Navid Mohammadzadeh, Amir Aghaee, Hediyeh Tehrani, Zakieh Behbahani"
The Incredible Jessica James,2017,Jim Strouse,"Jessica Williams, Chris O'Dowd, LaKeith Stanfield, Noël Wells"
Band Aid,2017,Zoe Lister-Jones,"Zoe Lister-Jones, Adam Pally, Fred Armisen, Susie Essman"
Call Me by Your Name,2017,Luca Guadagnino,"Armie Hammer, Timothée Chalamet, Michael Stuhlbarg, Amira Casar"
Golden Exits,2017,Alex Ross Perry,"Emily Browning, Adam Horovitz, Mary-Louise Parker, Lily Rabe"
T2 Trainspotting,2017,Danny Boyle,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Robert Carlyle"
Dim the Fluorescents,2017,Daniel Warth,"Claire Armstrong, Naomi Skwarna, Andreana Callegarini-Gradzik, Brendan Hobin"
Wind River,2017,Taylor Sheridan,"Kelsey Asbille, Jeremy Renner, Julia Jones, Teo Briones"
The Little Hours,2017,Jeff Baena,"Alison Brie, Dave Franco, Kate Micucci, Aubrey Plaza"
Contract to Kill,2016,Keoni Waxman,"Steven Seagal, Russell Wong, Jemma Dallender, Mircea Drambareanu"
The Founder,2016,John Lee Hancock,"Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini"
Owaranai hito: Miyazaki Hayao,2016,Kaku Arakawa,"Hayao Miyazaki, Toshio Suzuki, Yuhei Sakuragi, Yukinori Nakamura"
The Comedian,2016,Taylor Hackford,"Robert De Niro, Leslie Mann, Danny DeVito, Edie Falco"
My Dead Boyfriend,2016,Anthony Edwards,"Heather Graham, Scott Michael Foster, Katherine Moennig, Griffin Dunne"
In This Corner of the World,2016,Sunao Katabuchi,"Non, Ava Pickard, Kenna Pickard, Karen Strassman"
This Beautiful Fantastic,2016,Simon Aboud,"Mia Farkasovska, Jessica Brown Findlay, Anna Chancellor, Jeremy Irvine"
The Lost City of Z,2016,James Gray,"Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland"
Billy Lynn's Long Halftime Walk,2016,Ang Lee,"Joe Alwyn, Garrett Hedlund, Arturo Castro, Mason Lee"
Max Steel,2016,Stewart Hendler,"Ben Winchell, Josh Brener, Maria Bello, Andy Garcia"
Mindhorn,2016,Sean Foley,"Julian Barratt, Simon Farnaby, Essie Davis, Steve Coogan"
Letters From Baghdad,2016,Sabine Krayenbühl,"Tilda Swinton, Michael Higgs, Eric Loscheider, Rachael Stirling"
Autumn Lights,2016,Angad Aulakh,"Guy Kent, Marta Gastini, Sveinn Ólafur Gunnarsson, Thora Bjorg Helga"
The Vessel,2016,Julio Quintana,"Lucas Quintana, Martin Sheen, Jacqueline Duprey, Aris Mejias"
Cardboard Boxer,2016,Knate Lee,"Thomas Haden Church, Terrence Howard, Boyd Holbrook, Rhys Wakefield"
"All Governments Lie: Truth, Deception, and the Spirit of I.F. Stone",2016,Fred Peabody,"I.F. Stone, Chris Hedges, Leslie Moonves, Jeff Cohen"
Before the Flood,2016,Fisher Stevens,"Leonardo DiCaprio, Ki-moon Ban, Alejandro G. Iñárritu, Mike Brune"
Catfight,2016,Onur Tukel,"Sandra Oh, Anne Heche, Alicia Silverstone, Amy Hill"
Colossal,2016,Nacho Vigalondo,"Anne Hathaway, Jason Sudeikis, Austin Stowell, Tim Blake Nelson"
Free Fire,2016,Ben Wheatley,"Sharlto Copley, Brie Larson, Armie Hammer, Cillian Murphy"
In Dubious Battle,2016,James Franco,"Nat Wolff, James Franco, Vincent D'Onofrio, Selena Gomez"
Norman,2016,Joseph Cedar,"Richard Gere, Lior Ashkenazi, Michael Sheen, Steve Buscemi"
Brimstone,2016,Martin Koolhoven,"Guy Pearce, Dakota Fanning, Emilia Jones, Carice van Houten"
Nocturnal Animals,2016,Tom Ford,"Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson"
Morgan,2016,Luke Scott,"Kate Mara, Anya Taylor-Joy, Rose Leslie, Michael Yare"
USS Indianapolis: Men of Courage,2016,Mario Van Peebles,"Nicolas Cage, Tom Sizemore, Thomas Jane, Matt Lanter"
Mechanic: Resurrection,2016,Dennis Gansel,"Jason Statham, Jessica Alba, Tommy Lee Jones, Michelle Yeoh"
The Girl with All the Gifts,2016,Colm McCarthy,"Sennia Nanua, Fisayo Akinade, Dominique Tipper, Paddy Considine"
Shin Godzilla,2016,Hideaki Anno,"Hiroki Hasegawa, Yutaka Takenouchi, Satomi Ishihara, Ren Osugi"
A Dark Song,2016,Liam Gavin,"Steve Oram, Catherine Walker, Susan Loughnane, Mark Huberman"
Free State of Jones,2016,Gary Ross,"Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell"
Red Christmas,2016,Craig Anderson,"Dee Wallace, Geoff Morrell, Sarah Bishop, David Collins"
Salt and Fire,2016,Werner Herzog,"Veronica Ferres, Michael Shannon, Gael García Bernal, Volker Michalowski"
Collide,2016,Eran Creevy,"Nicholas Hoult, Felicity Jones, Anthony Hopkins, Ben Kingsley"
Tracktown,2016,Alexi Pappas,"Alexi Pappas, Chase Offerle, Rachel Dratch, Andy Buckley"
London Town,2016,Derrick Borte,"Jonathan Rhys Meyers, Daniel Huttlestone, Dougray Scott, Natascha McElhone"
Blood Father,2016,Jean-François Richet,"Mel Gibson, Erin Moriarty, Diego Luna, Michael Parks"
The Neon Demon,2016,Nicolas Winding Refn,"Elle Fanning, Christina Hendricks, Keanu Reeves, Karl Glusman"
Risk,2016,Laura Poitras,"Julian Assange, Sarah Harrison, Jacob Appelbaum, Joseph Farrell"
Cell,2016,Tod Williams,"John Cusack, Samuel L. Jackson, Isabelle Fuhrman, Clark Sarullo"
After the Storm,2016,Hirokazu Koreeda,"Hiroshi Abe, Yôko Maki, Satomi Kobayashi, Lily Franky"
Loving,2016,Jeff Nichols,"Ruth Negga, Joel Edgerton, Will Dalton, Dean Mumford"
Hell or High Water,2016,David Mackenzie,"Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham"
The Transfiguration,2016,Michael O'Shea,"Eric Ruffin, Karin Cherches, Luis Scott, Dangelo Bonneli"
Raw,2016,Julia Ducournau,"Garance Marillier, Ella Rumpf, Rabah Nait Oufella, Laurent Lucas"
Train to Busan,2016,Sang-ho Yeon,"Yoo Gong, Yu-mi Jung, Dong-seok Ma, Su-an Kim"
The Hollow Point,2016,Gonzalo López-Gallego,"Patrick Wilson, Ian McShane, John Leguizamo, Lynn Collins"
Precious Cargo,2016,Max Adams,"Bruce Willis, Mark-Paul Gosselaar, Claire Forlani, Jenna B. Kelly"
Sundown,2016,Fernando Lebrija,"Devon Werkheiser, Sean Marquette, Silverio Palacios, Camilla Belle"
The Take,2016,James Watkins,"Idris Elba, Richard Madden, Charlotte Le Bon, Kelly Reilly"
Between Us,2016,Rafael Palacio Illingworth,"Analeigh Tipton, Lesley Ann Warren, Olivia Thirlby, Adam Goldberg"
Dean,2016,Demetri Martin,"Demetri Martin, Kevin Kline, Gillian Jacobs, Mary Steenburgen"
Folk Hero & Funny Guy,2016,Jeff Grace,"Alex Karpovsky, Wyatt Russell, Meredith Hagner, Melanie Lynskey"
Little Boxes,2016,Rob Meyer,"Melanie Lynskey, Nelsan Ellis, Armani Jackson, Oona Laurence"
All We Had,2016,Katie Holmes,"Katie Holmes, Stefania LaVie Owen, Eve Lindley, Richard Kind"
All This Panic,2016,Jenny Gage,"Dusty Rose Ryan, Delia Cunningham, Lena M., Ginger Leigh Ryan"
Two Trains Runnin',2016,Sam Pollard,"Taylor Branch, Gary Clark Jr., Common, Dave Dennis"
Rainbow Time,2016,Linas Phillips,"Linas Phillips, Melanie Lynskey, Timm Sharp, Davie-Blue"
Don't Think Twice,2016,Mike Birbiglia,"Keegan-Michael Key, Gillian Jacobs, Mike Birbiglia, Chris Gethard"
Little Sister,2016,Zach Clark,"Addison Timlin, Ally Sheedy, Keith Poulson, Peter Hedges"
Donald Cried,2016,Kris Avedisian,"Jesse Wakeman, Kris Avedisian, William Billington, Louisa Krause"
My Father Die,2016,Sean Brosnan,"Gabe White, Chester Rushing, Trina LaFargue, Gary Stretch"
Triple 9,2016,John Hillcoat,"Casey Affleck, Chiwetel Ejiofor, Anthony Mackie, Aaron Paul"
37,2016,Puk Grasten,"Samira Wiley, Michael Potts, Maria Dizzia, Jamie Harrold"
The Love Witch,2016,Anna Biller,"Samantha Robinson, Jeffrey Vincent Parise, Laura Waddell, Gian Keys"
Carnage Park,2016,Mickey Keating,"Ashley Bell, Pat Healy, James Landry Hébert, Michael Villar"
Holy Hell,2016,Will Allen,"Will Allen, Dimitrius Pulido, Phillipe Coquet, David Christopher"
The Blackout Experiments,2016,Rich Fox,"Andrew Gallagher, Allison Fogarty, Bob Glouberman, Abel Horwitz"
Southside with You,2016,Richard Tanne,"Tika Sumpter, Parker Sawyers, Vanessa Bell Calloway, Phillip Edward Van Lear"
Gleason,2016,Clay Tweel,"Steve Gleason, Mike Gleason, Scott Fujita, Mike McKenzie"
Manchester by the Sea,2016,Kenneth Lonergan,"Casey Affleck, Michelle Williams, Kyle Chandler, Lucas Hedges"
Hunt for the Wilderpeople,2016,Taika Waititi,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House"
Swiss Army Man,2016,Dan Kwan,"Paul Dano, Daniel Radcliffe, Mary Elizabeth Winstead, Antonia Ribero"
Lost in the Sun,2016,Trey Nelson,"Josh Duhamel, Josh Wiggins, Lynn Collins, Emma Fuhrmann"
Standoff,2016,Adam Alleca,"Thomas Jane, Laurence Fishburne, Joanna Douglas, Ella Ballentine"
Extraction,2015,Steven C. Miller,"Bruce Willis, Kellan Lutz, Gina Carano, D.B. Sweeney"
Eddie the Eagle,2015,Dexter Fletcher,"Taron Egerton, Hugh Jackman, Tom Costello, Jo Hartley"
The Hateful Eight,2015,Quentin Tarantino,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins"
In the Heart of the Sea,2015,Ron Howard,"Chris Hemsworth, Cillian Murphy, Brendan Gleeson, Ben Whishaw"
Condemned,2015,Eli Morgan Gesner,"Dylan Penn, Ronen Rubinstein, Genevieve Hudson-Price, Honor Titus"
Jane Wants a Boyfriend,2015,William Sullivan,"Louisa Krause, Gabriel Ebert, Eliza Dushku, Polly Draper"
It Had to Be You,2015,Sasha Gordon,"Cristin Milioti, Dan Soder, Halley Feiffer, Kate Simses"
Tank 432,2015,Nick Gillespie,"Rupert Evans, Steve Garry, Deirdre Mullins, Michael Smiley"
What We Become,2015,Bo Mikkelsen,"Benjamin Engell, Troels Lyby, Mille Dinesen, Ella Solgaard"
Darling,2015,Mickey Keating,"Lauren Ashley Carter, Sean Young, Brian Morvant, Larry Fessenden"
Captive,2015,Jerry Jameson,"Kate Mara, David Oyelowo, Mimi Rogers, Michael Kenneth Williams"
Évolution,2015,Lucile Hadzihalilovic,"Marta Blanc, Max Brebant, Roxane Duran, Julie-Marie Parmentier"
The Blackcoat's Daughter,2015,Oz Perkins,"Emma Roberts, Kiernan Shipka, Lucy Boynton, James Remar"
Hardcore Henry,2015,Ilya Naishuller,"Sharlto Copley, Tim Roth, Haley Bennett, Danila Kozlovsky"
Baskin,2015,Can Evrenol,"Mehmet Cerrahoglu, Görkem Kasal, Ergun Kuyucu, Muharrem Bayrak"
Eye in the Sky,2015,Gavin Hood,"Helen Mirren, Aaron Paul, Alan Rickman, Barkhad Abdi"
Tanna,2015,Martin Butler,"Mungau Dain, Marie Wawa, Marceline Rofit, Charlie Kahla"
Man Down,2015,Dito Montiel,"Shia LaBeouf, Jai Courtney, Gary Oldman, Kate Mara"
Ma,2015,Celia Rowlson-Hall,"Kentucker Audley, Matt Lauria, Andrew Pastides, Michelle Perks"
Black Mass,2015,Scott Cooper,"Johnny Depp, Benedict Cumberbatch, Dakota Johnson, Joel Edgerton"
Solace,2015,Afonso Poyart,"Anthony Hopkins, Jeffrey Dean Morgan, Abbie Cornish, Colin Farrell"
The Visit,2015,M. Night Shyamalan,"Olivia DeJonge, Ed Oxenbould, Deanna Dunagan, Peter McRobbie"
No Escape,2015,John Erick Dowdle,"Lake Bell, Pierce Brosnan, Owen Wilson, Thanawut Ketsaro"
The Transporter Refueled,2015,Camille Delamarre,"Ed Skrein, Loan Chabanol, Ray Stevenson, Lenn Kudrjawizki"
American Ultra,2015,Nima Nourizadeh,"Jesse Eisenberg, Kristen Stewart, Connie Britton, John Leguizamo"
Bite,2015,Chad Archibald,"Elma Begovic, Annette Wozniak, Denise Yuen, Jordan Gray"
Wild City,2015,Ringo Lam,"Louis Koo, Shawn Yue, Liya Tong, Hsiao-chuan Chang"
13 Cameras,2015,Victor Zarcoff,"Neville Archambault, Sean Carrigan, PJ McCabe, Brianne Moncrief"
Momentum,2015,Stephen S. Campanelli,"Olga Kurylenko, James Purefoy, Morgan Freeman, Jenna Saras"
Self/less,2015,Tarsem Singh,"Ryan Reynolds, Natalie Martinez, Matthew Goode, Ben Kingsley"
Intruders,2015,Adam Schindler,"Rory Culkin, Leticia Jimenez, Jack Kesy, Timothy McKinney"
Already Tomorrow in Hong Kong,2015,Emily Ting,"Jamie Chung, Bryan Greenberg, Richard Ng, Sarah Lian"
Women He's Undressed,2015,Gillian Armstrong,"Ann Roth, Jane Fonda, Marc Eliot, Eric Sherman"
Me Him Her,2015,Max Landis,"Dustin Milligan, Luke Bracey, Emily Meade, Kyle Bornheimer"
Macbeth,2015,Justin Kurzel,"Michael Fassbender, Marion Cotillard, Jack Madigan, Frank Madigan"
The Human Centipede III (Final Sequence),2015,Tom Six,"Dieter Laser, Laurence R. Harvey, Eric Roberts, Robert LaSardo"
Survivor,2015,James McTeigue,"Milla Jovovich, Pierce Brosnan, Dylan McDermott, Paddy Wallace"
Sicario,2015,Denis Villeneuve,"Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal"
Green Room,2015,Jeremy Saulnier,"Anton Yelchin, Imogen Poots, Alia Shawkat, Patrick Stewart"
Our Little Sister,2015,Hirokazu Koreeda,"Haruka Ayase, Masami Nagasawa, Kaho, Suzu Hirose"
MI-5,2015,Bharat Nalluri,"Kit Harington, Peter Firth, Jennifer Ehle, Michael Wildman"
Beautiful Something,2015,Joseph Graham,"Brian Sheppard, Zack Ryan, Colman Domingo, John Lescault"
Barely Lethal,2015,Kyle Newman,"Jaime King, Samuel L. Jackson, Madeleine Stack, Eva G. Cooper"
Anesthesia,2015,Tim Blake Nelson,"Sam Waterston, Kristen Stewart, Corey Stoll, Gretchen Mol"
Maggie,2015,Henry Hobson,"Arnold Schwarzenegger, Abigail Breslin, Joely Richardson, Laura Cayouette"
Slow Learners,2015,Don Argott,"Adam Pally, Megan Neuringer, Bobby Spears Jr., Peter Grosz"
Dirty Weekend,2015,Neil LaBute,"Matthew Broderick, Alice Eve, Phil Burke, Gia Crovatin"
Song of Lahore,2015,Sharmeen Obaid-Chinoy,"Najaf Ali, Rafiq Ahmed, Saleem Khan, Asad Ali"
One More Time,2015,Robert Edwards,"Christopher Walken, Amber Heard, Kelli Garner, Hamish Linklater"
Men Go to Battle,2015,Zachary Treitz,"Charlotte Arnold, Steve Coulter, Samantha Jacober, Emily Kicklighter"
King Jack,2015,Felix Thompson,"Charlie Plummer, Cory Nichols, Christian Madsen, Danny Flaherty"
Dark Places,2015,Gilles Paquet-Brenner,"Charlize Theron, Nicholas Hoult, Christina Hendricks, Chloë Grace Moretz"
7 Chinese Brothers,2015,Bob Byington,"Jason Schwartzman, Olympia Dukakis, Tunde Adebimpe, Eleanore Pienta"
Tab Hunter Confidential,2015,Jeffrey Schwarz,"Tab Hunter, Clint Eastwood, Rock Hudson, Natalie Wood"
"Hello, My Name Is Doris",2015,Michael Showalter,"Sally Field, Max Greenfield, Tyne Daly, Wendi McLendon-Covey"
The Invitation,2015,Karyn Kusama,"Logan Marshall-Green, Emayatzy Corinealdi, Michiel Huisman, Tammy Blanchard"
Run All Night,2015,Jaume Collet-Serra,"Liam Neeson, Ed Harris, Joel Kinnaman, Vincent D'Onofrio"
The Gunman,2015,Pierre Morel,"Sean Penn, Idris Elba, Jasmine Trinca, Javier Bardem"
Results,2015,Andrew Bujalski,"Guy Pearce, Cobie Smulders, Kevin Corrigan, Giovanni Ribisi"
I'll See You in My Dreams,2015,Brett Haley,"Blythe Danner, Martin Starr, Sam Elliott, Malin Akerman"
Unexpected,2015,Kris Rey,"Cobie Smulders, Anders Holm, Gail Bean, Elizabeth McGovern"
Being Evel,2015,Daniel Junge,"Ken Berg, Seth Enslow, Ray Gunn, George Hamilton"
Me and Earl and the Dying Girl,2015,Alfonso Gomez-Rejon,"Thomas Mann, RJ Cyler, Olivia Cooke, Nick Offerman"
The Hallow,2015,Corin Hardy,"Joseph Mawle, Bojana Novakovic, Michael McElhatton, Michael Smiley"
Mississippi Grind,2015,Anna Boden,"Ben Mendelsohn, Ryan Reynolds, Yvonne Landry, Anthony Howard"
The Witch,2015,Robert Eggers,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Julian Richings"
Tangerine,2015,Sean Baker,"Kitana Kiki Rodriguez, Mya Taylor, Karren Karagulian, Mickey O'Hagan"
Strangerland,2015,Kim Farrant,"Nicole Kidman, Joseph Fiennes, Hugo Weaving, Lisa Flanagan"
Wild Card,2015,Simon West,"Jason Statham, Michael Angarano, Dominik Garcia, Milo Ventimiglia"
Vice,2015,Brian A. Miller,"Thomas Jane, Bruce Willis, Ambyr Childers, Johnathon Schaech"
Let's Kill Ward's Wife,2014,Scott Foley,"Amy Acker, Ava Carpinello, James Carpinello, Dagmara Dominczyk"
Ex Machina,2014,Alex Garland,"Alicia Vikander, Domhnall Gleeson, Oscar Isaac, Sonoya Mizuno"
Free the Nipple,2014,Lina Esco,"Lina Esco, Lola Kirke, Monique Coleman, Zach Grenier"
Six Dance Lessons in Six Weeks,2014,Arthur Allan Seidelman,"Gena Rowlands, Cheyenne Jackson, Jacki Weaver, Rita Moreno"
Mountain Men,2014,Cameron Labine,"Chace Crawford, Tyler Labine, Christine Willes, Britt Irvin"
Poker Night,2014,Greg Francis,"Beau Mirchoff, Ron Perlman, Giancarlo Esposito, Titus Welliver"
