title,year,metascore,mpaa_rating,runtime_min,genre,director,stars
Flies on Cupid,2000,,,95.0,"Drama, Comedy",Morgan Daniel,"Donna Barnes, Morgan Daniel, Shane Conrad, Linda Kim"
Kog-Head and Meatus,2000,,,,"Action, Short, Animation",Doug TenNapel,Rob Paulsen
Faces of Gore 3,2000,,Not Rated,90.0,"Horror, Documentary",Todd Tjersland,"Todd Tjersland, Vincent van Gore"
Take It to the Limit,2000,,PG-13,87.0,"Action, Adventure",Sam Kieth,"Bobby Debevec, Jason Bortz, Christian Couto, Leo Fitzpatrick"
Stageghost,2000,,R,104.0,"Thriller, Western",Stephen Furst,"Christopher Atkins, Dana Barron, Mark Brooks, Edward Albert"
Primetime Murder,2000,,,85.0,Thriller,Alessandro Capone,"Marisa Berenson, Luca Venantini, Sascha Zacharias, Yvonne Sciò"
Nowheresville,2000,,PG-13,96.0,Romance,Bishop Trout,"Kim Evey, Henri Lubatti, Mark Berry, Kim Tyler"
Deception,2000,,,92.0,Thriller,Byron Werner,"Justin Gray, Amber Smith, Nero Campbell, Ursula Weiss"
Carnivore,2000,,R,80.0,"Horror, Sci, Fi",Joseph Kurtz,"Michael Hogan, J. Douglas Martner, Steven Walker, Jack Solem"
The Caprice,2000,,,91.0,Drama,Jason King,"Emily Cline, Alicia Minshew, Ray Jarrell, Brian Gant"
The Adventures of Cinderella's Daughter,2000,,G,70.0,"Family, Fantasy, Comedy",Scott Zakarin,"Joe Lando, Shirley Jones, Brendon Ford, Stan Lee"
Learning to Surf,2000,,,,"Drama, Romance",R.J. Thomas,"Summer Altice, Stacy Burnham, Craig Watkinson, Joe Michael Burke"
Nightfall,2000,,R,82.0,"Drama, Sci, Fi, Thriller",Gwyneth Gibby,"David Carradine, Winsome Brown, Jennifer Burns, Joseph Hodge"
Message in a Cell Phone,2000,,PG,85.0,Family,Eric Hendershot,"Douglas Caputo, Rick Macy, Jan Broberg, Nick Whitaker"
Split Intent,2000,,,,Action,Serge Rodnunsky,"Declan Galvin, Michelle Rene Jordan, Elizabeth J. Martin, Christopher May"
Bad Guys,2000,,,,"Action, Adventure",Bryan Genesse,"Tim Colceri, Claudia Christian, Dennis L. Baker, Michael Bailey Smith"
Warpath,2000,,Not Rated,90.0,Action,Peter Maris,"Michelle Jones, Amy Lindsay, Billy Parish, Kathy Derry"
Oliver Twisted,2000,,Not Rated,90.0,Horror,Dean Gates,"Jason McMahan, Signe Kiesel, Brian Ahmes, Karen Black"
Love the One You're with,2000,,,92.0,Drama,Robbie Moffat,"Adelle Brown, Paul Cunningham, Niall Sutherland, Hazel Ann Crawford"
Behind the Seams,2000,,,92.0,Romance,James Lima,"Nada Despotovich, Cathleen Gallagher, Serge Lutens, Scott Sherman"
